epoch,loss,return_mean,return_std,latency_mean_ms,returns,time_s
0,0.37613174319267273,11.6,0.66332495807108,15.572848275833794,"[12.0, 12.0, 11.0, 12.0, 11.0, 13.0, 11.0, 12.0, 11.0, 11.0]",106.44294953346252
1,0.31935742497444153,9.2,0.7483314773547883,11.153736956519266,"[8.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 8.0, 9.0, 9.0]",190.77663135528564
2,0.2777288854122162,9.0,0.6324555320336759,9.687636666603794,"[10.0, 10.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0]",289.86331725120544
3,0.2686379551887512,10.1,0.8306623862918076,9.939189108864761,"[10.0, 11.0, 11.0, 9.0, 9.0, 9.0, 10.0, 10.0, 11.0, 11.0]",355.8107702732086
4,0.2651941478252411,10.3,1.004987562112089,11.800881553444393,"[9.0, 11.0, 10.0, 10.0, 9.0, 12.0, 11.0, 9.0, 11.0, 11.0]",431.1994423866272
5,0.2593109607696533,9.9,0.8306623862918076,14.664871717185532,"[9.0, 10.0, 11.0, 10.0, 9.0, 10.0, 11.0, 9.0, 11.0, 9.0]",529.2440023422241
6,0.2595292627811432,10.4,0.66332495807108,8.46902980766537,"[10.0, 9.0, 11.0, 11.0, 10.0, 11.0, 11.0, 10.0, 10.0, 11.0]",600.982723236084
7,0.259991854429245,10.3,1.0999999999999999,7.566662135943561,"[9.0, 11.0, 12.0, 9.0, 10.0, 10.0, 10.0, 9.0, 11.0, 12.0]",649.0471954345703
8,0.2573496997356415,10.3,0.9000000000000001,8.948066019425841,"[9.0, 11.0, 11.0, 11.0, 9.0, 11.0, 11.0, 9.0, 10.0, 11.0]",715.014778137207
9,0.2569926083087921,10.0,0.6324555320336759,9.975514999978259,"[10.0, 10.0, 10.0, 10.0, 10.0, 11.0, 11.0, 9.0, 9.0, 10.0]",793.8389370441437
10,0.2554156184196472,10.8,0.6,9.964071296289385,"[11.0, 11.0, 12.0, 11.0, 11.0, 10.0, 11.0, 11.0, 10.0, 10.0]",860.3384997844696
11,0.2556614875793457,11.4,0.4898979485566356,7.701784210487523,"[11.0, 11.0, 11.0, 12.0, 12.0, 11.0, 12.0, 11.0, 11.0, 12.0]",914.3870341777802
12,0.25588899850845337,10.7,0.9,7.65588971960178,"[9.0, 12.0, 9.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]",964.097217798233
13,0.25491461157798767,10.1,0.7000000000000001,8.698892079247335,"[10.0, 10.0, 9.0, 10.0, 9.0, 11.0, 10.0, 11.0, 11.0, 10.0]",1009.525803565979
14,0.2553699314594269,12.3,1.004987562112089,8.325585365808335,"[12.0, 11.0, 13.0, 13.0, 11.0, 12.0, 13.0, 13.0, 14.0, 11.0]",1058.4352777004242
15,0.2530609965324402,12.2,0.8717797887081347,7.5627745901686865,"[12.0, 14.0, 12.0, 11.0, 11.0, 12.0, 13.0, 13.0, 12.0, 12.0]",1109.693374633789
16,0.2547156512737274,12.4,0.9165151389911681,8.179470967661473,"[13.0, 11.0, 13.0, 12.0, 12.0, 11.0, 13.0, 13.0, 12.0, 14.0]",1163.0827202796936
17,0.2541447579860687,12.3,1.268857754044952,8.007377235752925,"[12.0, 11.0, 11.0, 14.0, 11.0, 11.0, 14.0, 14.0, 12.0, 13.0]",1211.0012745857239
18,0.2522408366203308,14.3,1.9000000000000001,7.8240902097591984,"[13.0, 16.0, 15.0, 15.0, 12.0, 13.0, 18.0, 12.0, 13.0, 16.0]",1258.1505744457245
19,0.2537119388580322,12.6,1.0198039027185568,9.932319047608857,"[12.0, 12.0, 14.0, 12.0, 14.0, 11.0, 12.0, 12.0, 14.0, 13.0]",1311.1573181152344
20,0.253459095954895,13.1,1.1357816691600546,8.824733587804797,"[13.0, 15.0, 13.0, 12.0, 12.0, 12.0, 14.0, 12.0, 15.0, 13.0]",1363.958832025528
21,0.25202998518943787,12.8,1.6613247725836147,7.2948914061967685,"[11.0, 12.0, 13.0, 12.0, 13.0, 12.0, 17.0, 11.0, 13.0, 14.0]",1415.8264791965485
22,0.25307708978652954,14.1,1.374772708486752,7.6152432623639985,"[14.0, 14.0, 14.0, 12.0, 15.0, 16.0, 12.0, 13.0, 15.0, 16.0]",1464.228803396225
23,0.25259438157081604,13.6,1.3564659966250536,7.8858124999616095,"[15.0, 16.0, 15.0, 13.0, 13.0, 14.0, 12.0, 14.0, 12.0, 12.0]",1514.9875366687775
24,0.2527816593647003,13.0,1.0,9.116568461558927,"[12.0, 14.0, 12.0, 12.0, 14.0, 13.0, 15.0, 13.0, 12.0, 13.0]",1564.8144526481628
25,0.25217345356941223,12.0,1.0954451150103321,8.24545083329819,"[11.0, 11.0, 11.0, 11.0, 13.0, 13.0, 13.0, 12.0, 14.0, 11.0]",1614.2702388763428
26,0.25251057744026184,14.4,2.2449944320643644,8.030018055579704,"[13.0, 16.0, 14.0, 17.0, 11.0, 15.0, 16.0, 12.0, 12.0, 18.0]",1662.9508979320526
27,0.2520813047885895,11.9,1.3,8.56527815122878,"[12.0, 14.0, 11.0, 12.0, 13.0, 10.0, 10.0, 13.0, 11.0, 13.0]",1713.005737066269
28,0.2519838809967041,15.2,2.1354156504062622,8.237604605279845,"[13.0, 12.0, 14.0, 17.0, 13.0, 14.0, 17.0, 16.0, 18.0, 18.0]",1779.4934885501862
29,0.2520122230052948,15.1,1.7,7.995633774839163,"[14.0, 17.0, 15.0, 15.0, 17.0, 14.0, 14.0, 15.0, 18.0, 12.0]",1834.9652161598206
30,0.25232917070388794,13.8,1.2489995996796797,9.772586956512606,"[13.0, 13.0, 13.0, 15.0, 13.0, 15.0, 16.0, 13.0, 12.0, 15.0]",1882.509396314621
31,0.25181490182876587,14.1,1.7,7.2402851063617675,"[12.0, 12.0, 15.0, 17.0, 16.0, 15.0, 15.0, 14.0, 13.0, 12.0]",1928.305334329605
