max_length,time_window,avg_spikes,latency_ms
20,5,0.47,57.377527999997255
20,10,10.42,91.5873239999928
20,20,11.89,181.93000700004632
20,40,10.36,342.30157199999667
50,5,2.24,60.25639699997555
50,10,23.9,95.60050100000808
50,20,25.99,184.79282799999055
50,40,27.21,485.02593699995487
100,5,3.93,77.96868299999915
100,10,47.85,223.89008099999046
100,20,55.2,286.9494599999598
100,40,49.61,779.3506989999878
