epoch,loss,return_mean,return_std,latency_mean_ms,returns,time_s
0,0.37686687707901,23.0,6.0,11.434656086867502,"[29.0, 14.0, 28.0, 28.0, 27.0, 17.0, 28.0, 27.0, 17.0, 15.0]",63.22378420829773
1,0.2980772852897644,9.7,0.9,7.889797938220262,"[10.0, 10.0, 10.0, 9.0, 11.0, 11.0, 9.0, 9.0, 8.0, 10.0]",113.88983869552612
2,0.2787039875984192,9.3,0.7810249675906655,9.465007526863877,"[10.0, 10.0, 8.0, 10.0, 10.0, 10.0, 9.0, 8.0, 9.0, 9.0]",175.16392612457275
3,0.26709097623825073,11.1,0.7000000000000001,8.235888288188951,"[11.0, 10.0, 12.0, 11.0, 11.0, 12.0, 10.0, 11.0, 11.0, 12.0]",229.6845667362213
4,0.2656174302101135,11.3,0.9,8.094344247722729,"[10.0, 13.0, 11.0, 11.0, 12.0, 12.0, 12.0, 10.0, 11.0, 11.0]",278.9523205757141
5,0.2643201947212219,11.2,0.8717797887081348,8.498203571304787,"[11.0, 12.0, 10.0, 12.0, 10.0, 12.0, 10.0, 12.0, 11.0, 12.0]",332.78021717071533
6,0.26100125908851624,11.1,0.8306623862918076,8.20805135122469,"[10.0, 11.0, 10.0, 12.0, 10.0, 12.0, 12.0, 12.0, 11.0, 11.0]",385.58285093307495
7,0.25895771384239197,11.7,0.7810249675906655,8.374929059871834,"[12.0, 12.0, 10.0, 12.0, 11.0, 11.0, 13.0, 12.0, 12.0, 12.0]",434.18658995628357
8,0.2607101500034332,11.0,0.7745966692414834,7.8233572727516405,"[11.0, 11.0, 12.0, 10.0, 11.0, 12.0, 10.0, 12.0, 10.0, 11.0]",481.01258850097656
9,0.2602992057800293,11.4,1.019803902718557,8.228057894676136,"[12.0, 12.0, 12.0, 10.0, 10.0, 10.0, 11.0, 12.0, 13.0, 12.0]",526.4162788391113
10,0.2574489414691925,11.2,1.16619037896906,7.635569642924826,"[10.0, 11.0, 12.0, 10.0, 13.0, 10.0, 13.0, 11.0, 10.0, 12.0]",572.4884059429169
11,0.25645554065704346,11.5,0.9219544457292888,7.854560000139274,"[12.0, 11.0, 12.0, 10.0, 12.0, 13.0, 10.0, 12.0, 12.0, 11.0]",617.9852664470673
12,0.2559177875518799,11.8,0.7483314773547883,8.361994067792878,"[13.0, 11.0, 12.0, 12.0, 13.0, 11.0, 11.0, 12.0, 11.0, 12.0]",669.2727994918823
13,0.25583645701408386,11.6,1.0198039027185568,8.106337068872154,"[10.0, 11.0, 13.0, 12.0, 12.0, 12.0, 13.0, 11.0, 10.0, 12.0]",717.7555778026581
14,0.2551251947879791,11.6,0.4898979485566356,11.546746551787157,"[11.0, 12.0, 12.0, 11.0, 11.0, 12.0, 12.0, 12.0, 12.0, 11.0]",773.6375572681427
15,0.2548965811729431,11.7,1.004987562112089,8.189258974283819,"[12.0, 12.0, 11.0, 12.0, 13.0, 12.0, 10.0, 13.0, 10.0, 12.0]",834.5111398696899
16,0.2560872435569763,11.7,0.7810249675906655,9.346654700820158,"[11.0, 12.0, 12.0, 12.0, 11.0, 11.0, 11.0, 13.0, 13.0, 11.0]",888.504156589508
17,0.25585466623306274,12.3,1.004987562112089,18.59449024385963,"[13.0, 13.0, 13.0, 12.0, 11.0, 10.0, 13.0, 13.0, 13.0, 12.0]",942.432578086853
18,0.25503939390182495,11.0,0.6324555320336759,8.298475454483363,"[11.0, 12.0, 10.0, 10.0, 12.0, 11.0, 11.0, 11.0, 11.0, 11.0]",994.4560980796814
19,0.25270336866378784,11.0,0.7745966692414834,8.747919090885924,"[11.0, 12.0, 10.0, 10.0, 11.0, 11.0, 11.0, 12.0, 12.0, 10.0]",1046.3192338943481
20,0.25343236327171326,11.2,0.7483314773547883,8.731737500024142,"[12.0, 10.0, 12.0, 11.0, 12.0, 12.0, 11.0, 10.0, 11.0, 11.0]",1101.8345611095428
21,0.2535627782344818,11.1,0.8306623862918076,9.080636936896308,"[11.0, 10.0, 10.0, 12.0, 12.0, 10.0, 11.0, 12.0, 12.0, 11.0]",1154.3418350219727
22,0.2525244653224945,11.2,0.8717797887081348,9.326478571356997,"[12.0, 11.0, 12.0, 12.0, 11.0, 12.0, 10.0, 10.0, 12.0, 10.0]",1206.6124215126038
23,0.25499284267425537,11.8,0.8717797887081348,9.137198305140018,"[13.0, 13.0, 12.0, 11.0, 12.0, 12.0, 12.0, 11.0, 12.0, 10.0]",1267.2829563617706
24,0.25349828600883484,11.1,0.5385164807134504,9.200508108135493,"[11.0, 11.0, 11.0, 12.0, 10.0, 11.0, 11.0, 11.0, 11.0, 12.0]",1328.4155757427216
25,0.2535960078239441,11.6,0.7999999999999999,8.258331034618283,"[11.0, 12.0, 10.0, 12.0, 11.0, 12.0, 12.0, 11.0, 12.0, 13.0]",1381.8799726963043
26,0.2538411319255829,10.7,0.7810249675906655,24.49657663543302,"[10.0, 10.0, 11.0, 11.0, 10.0, 11.0, 12.0, 10.0, 10.0, 12.0]",1447.0485982894897
27,0.2538040280342102,11.4,0.8,8.200762280690117,"[10.0, 12.0, 11.0, 11.0, 11.0, 13.0, 11.0, 12.0, 12.0, 11.0]",1505.0070095062256
28,0.2540823221206665,11.0,0.8944271909999159,9.36515636355828,"[11.0, 10.0, 11.0, 12.0, 10.0, 10.0, 12.0, 12.0, 12.0, 10.0]",1558.0124855041504
29,0.2530883252620697,11.6,0.9165151389911681,8.156568965707013,"[11.0, 11.0, 12.0, 11.0, 10.0, 13.0, 12.0, 13.0, 11.0, 12.0]",1610.3213016986847
30,0.2526341676712036,11.4,0.9165151389911681,8.381792105450458,"[11.0, 13.0, 11.0, 10.0, 12.0, 12.0, 11.0, 12.0, 12.0, 10.0]",1662.4420709609985
31,0.2524489462375641,11.5,0.806225774829855,8.383987826211682,"[12.0, 11.0, 10.0, 12.0, 11.0, 11.0, 11.0, 12.0, 12.0, 13.0]",1716.4565966129303
